?ngulo del crista;Tasa con 13kV;Tasa con 15kV;Tasa con 17kV;Tasa con 19kV;Tasa con 21kV;Tasa con 23kV;Tasa con 25kV;Tasa con 27kV;Tasa con 29kV;Tasa con 31kV;Tasa con 33kV;Tasa con 35kV
theta/?;R(13kV)/Imp/s;R(15kV)/Imp/s;R(17kV)/Imp/s;R(19kV)/Imp/s;R(21kV)/Imp/s;R(23kV)/Imp/s;R(25kV)/Imp/s;R(27kV)/Imp/s;R(29kV)/Imp/s;R(31kV)/Imp/s;R(33kV)/Imp/s;R(35kV)/Imp/s
;;;;;;;;;;;;
7.8;0;0;1;1;1;1;2;7;5;5;6;11
7.9;0;0;2;1;3;2;2;5;3;4;7;10
8;1;1;1;2;1;3;5;3;6;7;6;9
8.1;0;1;1;0;1;1;2;5;4;4;5;11
8.2;0;0;2;0;1;3;3;2;5;11;7;12
8.3;0;1;1;1;3;1;3;2;3;4;6;10
8.4;0;1;1;1;1;1;3;2;5;9;6;8
8.5;0;1;0;1;2;2;3;1;7;2;6;8
8.6;0;0;1;0;1;1;1;1;6;3;8;13
8.7;0;2;1;1;1;2;2;3;6;9;5;8
8.8;0;0;1;0;1;1;2;3;7;4;9;9
8.9;0;1;1;1;2;1;3;1;5;8;5;10
9;1;0;0;1;1;3;5;4;4;7;6;9
9.1;1;0;1;1;1;2;5;3;2;5;8;12
9.2;0;0;0;1;2;2;1;3;5;8;10;8
9.3;0;0;1;1;0;2;4;5;3;10;9;9
9.4;0;0;0;3;0;3;4;3;5;4;6;15
9.5;0;1;2;1;2;3;1;1;5;5;6;8
9.6;0;1;1;1;1;2;1;5;3;9;10;6
9.7;1;0;0;2;2;2;2;3;7;7;6;10
9.8;0;1;1;0;2;2;1;3;0;6;7;9
9.9;0;0;3;0;2;2;3;6;6;6;9;11
10;1;0;0;0;2;2;0;5;3;6;5;9
10.1;0;0;2;1;1;3;1;3;4;4;6;13
10.2;1;0;1;0;3;4;3;2;6;4;6;7
10.3;0;0;1;2;0;2;5;6;4;4;11;7
10.4;1;1;1;0;3;0;4;2;5;11;8;6
10.5;0;0;1;2;1;2;2;5;4;7;8;8
10.6;1;0;1;1;2;2;4;6;4;5;7;6
10.7;0;1;1;0;0;5;3;3;6;8;8;12
10.8;0;1;1;2;0;3;2;3;4;6;6;10
10.9;0;1;0;2;2;2;0;3;5;7;11;10
11;0;0;1;1;1;3;4;5;4;5;11;15
11.1;0;2;1;2;2;3;2;3;6;6;7;8
11.2;0;0;0;2;1;4;4;3;4;6;8;8
11.3;1;1;0;1;1;2;3;3;5;4;9;16
11.4;0;1;0;2;1;1;2;4;2;5;8;11
11.5;0;1;1;2;1;2;2;4;3;6;9;9
11.6;0;0;0;1;1;3;4;4;5;4;8;6
11.7;1;0;1;2;1;1;3;4;3;6;7;11
11.8;0;0;1;1;1;2;4;1;5;6;8;13
11.9;0;0;2;1;3;2;4;5;6;5;8;11
12;0;0;0;1;1;1;4;4;4;10;6;7
12.1;1;1;2;1;1;3;2;5;4;4;9;9
12.2;1;0;1;2;2;2;2;3;4;6;11;14
12.3;0;0;0;1;3;2;2;2;4;9;10;15
12.4;1;0;2;2;2;3;4;7;2;11;6;14
12.5;0;1;1;1;3;3;3;4;6;11;11;10
12.6;0;0;1;3;2;3;1;6;3;9;10;10
12.7;1;0;0;3;3;3;5;5;7;10;10;13
12.8;0;1;1;3;2;3;3;2;4;8;10;10
12.9;0;2;2;2;3;3;4;6;5;8;10;13
13;0;1;1;0;3;3;4;3;5;6;13;11
13.1;0;2;1;2;4;2;4;6;8;5;9;13
13.2;0;1;1;2;2;3;3;4;6;5;13;14
13.3;0;1;0;1;1;2;4;6;4;9;9;13
13.4;0;0;1;2;1;2;3;2;6;9;7;12
13.5;0;1;1;2;1;2;5;3;7;6;9;12
13.6;0;0;1;1;4;2;4;4;4;10;8;12
13.7;1;0;0;0;3;1;3;1;5;9;11;8
13.8;0;2;1;0;2;2;3;3;6;5;9;10
13.9;0;1;1;3;1;2;1;2;6;4;5;12
14;0;1;4;1;2;4;4;5;6;8;10;8
14.1;0;0;2;3;3;3;4;3;4;8;12;4
14.2;0;0;0;1;2;1;4;3;6;6;7;10
14.3;0;1;1;0;1;4;6;5;5;5;5;13
14.4;0;1;0;3;2;1;3;3;9;7;7;12
14.5;0;1;1;1;3;2;3;2;3;7;10;11
14.6;0;2;1;1;2;3;4;4;4;8;8;12
14.7;0;0;1;2;1;3;1;4;6;8;10;7
14.8;1;0;1;1;2;2;3;4;6;8;11;12
14.9;1;0;0;1;2;3;4;6;3;6;6;8
15;1;1;0;0;1;1;5;3;3;5;8;9
15.1;0;1;0;1;1;4;5;4;7;5;7;14
15.2;0;1;0;0;1;1;5;6;6;7;7;11
15.3;0;2;1;0;0;5;5;6;6;10;5;8
15.4;2;0;1;2;2;2;6;2;5;4;9;11
15.5;0;1;2;2;3;2;3;3;3;10;7;11
15.6;0;0;2;1;2;1;2;6;6;7;8;11
15.7;0;1;1;1;1;5;6;5;4;8;6;12
15.8;1;2;2;1;4;4;4;8;8;7;11;12
15.9;0;1;1;3;3;4;3;4;6;7;8;12
16;0;1;1;2;3;4;5;5;6;8;10;10
16.1;0;0;0;2;3;3;1;5;7;8;11;8
16.2;0;2;1;1;3;5;2;9;5;8;6;10
16.3;0;1;1;1;1;3;3;5;8;6;7;11
16.4;0;1;3;2;2;2;4;5;5;9;9;14
16.5;0;0;0;1;2;1;2;5;7;7;6;8
16.6;0;2;2;1;3;2;2;4;9;9;6;10
16.7;1;0;1;2;1;3;3;3;7;12;13;13
16.8;0;0;0;2;3;1;3;3;8;9;8;10
16.9;0;1;1;0;5;5;2;4;8;11;10;9
17;2;2;2;3;1;5;5;6;6;5;7;12
17.1;0;1;0;1;3;5;3;8;7;5;6;6
17.2;1;0;2;2;3;4;5;7;7;7;7;5
17.3;0;0;1;3;1;3;2;5;4;8;8;11
17.4;0;1;1;3;1;5;5;6;6;12;12;10
17.5;0;1;2;4;3;3;5;9;6;10;13;0
17.6;0;1;0;2;3;4;2;5;12;11;18;27
17.7;1;1;2;1;4;3;6;5;9;22;40;60
17.8;1;0;1;2;3;7;7;9;26;27;57;62
17.9;1;1;1;2;3;11;20;13;7;13;8;18
18;0;2;2;3;5;4;4;7;6;11;10;15
18.1;1;1;2;2;4;3;4;5;6;12;11;13
18.2;0;1;3;1;4;5;5;7;7;7;9;7
18.3;0;2;1;2;5;6;5;4;6;8;14;18
18.4;1;1;1;3;2;3;4;7;7;9;9;11
18.5;0;1;2;2;3;4;3;3;5;7;11;10
18.6;1;1;2;2;2;4;3;5;5;8;6;7
18.7;0;1;2;1;3;5;5;3;8;11;11;16
18.8;0;0;1;0;3;1;4;4;11;7;9;10
